Date,Gold Price,Tonnes,North_America,Europe,Asia,Other
2018-10-31,1214.95,2373.32826725,1183.96067874,1078.6073477599998,75.52654219000001,35.23369856
2018-11-30,1217.55,2393.0522598,1192.6018288199998,1088.0648293999998,77.24361985,35.14198173
2018-12-31,1281.65,2471.96477031,1228.6755471400002,1131.5704712300003,77.61735642,34.101395520000004
2019-01-31,1323.25,2549.18332491,1281.90904522,1155.7514505200002,77.4871327,34.03569647
2019-02-28,1319.15,2514.56319929,1252.72664805,1153.91823366,74.06076621,33.857551369999996
2019-03-29,1295.4,2514.90134468,1255.39095398,1152.6587047599999,72.83193958999999,34.01974634999999
2019-04-30,1282.3,2455.61533494,1209.2654554799997,1142.4333967,70.10465905999999,33.81182369999999
2019-05-31,1295.55,2455.13117374,1195.68186334,1160.3194069999997,65.93295180999999,33.19695159
2019-06-28,1409.0,2588.55824471,1259.67675639,1227.0170003600003,68.33966115,33.52482680999999
2019-07-31,1427.55,2646.09423436,1302.93569531,1238.72230306,69.21210608,35.224129909999995
2019-08-30,1528.4,2773.83992305,1381.0503986599997,1273.76297881,79.21103496999999,39.81551061
2019-09-30,1485.3,2850.93185299,1442.2812112400002,1285.06873921,82.33283845,41.24906409
2019-10-31,1510.95,2892.78378737,1455.36362443,1313.5258069799997,81.92497005,41.96938591
2019-11-29,1460.15,2861.88307705,1438.63709763,1298.88541367,79.38633408,44.974231669999995
2019-12-31,1523.0,2875.56699385,1437.3391426399999,1315.9578951800002,77.54570824,44.72424779
2020-01-31,1584.2,2938.41222832,1466.5652733299999,1349.8819214300001,76.69627979,45.26875377
2020-02-28,1609.85,3024.6068905,1508.78359492,1385.18037071,84.67257815,45.970346719999995
2020-03-31,1608.95,3176.47386363,1565.8268692000001,1468.5692828999997,91.41296394,50.664747590000005
2020-04-30,1702.75,3358.31885688,1710.0680329500003,1494.59758414,99.94505907,53.70818072
2020-05-29,1728.7,3513.33723499,1812.2585637799998,1540.3200942699998,104.4067622,56.35181474
2020-06-30,1768.1,3609.58294471,1895.40038813,1554.9570575700002,99.89226107,59.333237940000004
2020-07-31,1964.9,3780.39869385,2013.00091049,1599.1307164,105.36935337,62.89771359000001
2020-08-31,1957.35,3818.43463714,2051.71508368,1588.3362435899999,113.59643030000001,64.78687957
2020-09-30,1886.9,3893.47478651,2086.44769687,1621.7151933000002,119.87858512999999,65.43331121
2020-10-30,1881.85,3915.09325699,2088.3096412,1644.6004333900003,119.53430446,62.648877940000006
2020-11-30,1762.55,3801.96790139,2026.01225151,1598.07240385,117.28302267,60.60022336000001
2020-12-31,1891.1,3768.11581128,2000.2926020700002,1591.59924733,115.13649744,61.08746443999999
2021-01-29,1863.8,3786.13877859,1994.1012637100002,1612.9018339799998,115.38060412,63.75507678
2021-02-26,1742.85,3704.50104749,1923.7133403399998,1591.9440148400004,125.47458709999998,63.369105209999994
2021-03-31,1691.05,3591.98022108,1854.9436128599998,1541.53349644,132.91381938,62.589292400000005
2021-04-30,1767.65,3575.99354993,1826.5028018399998,1554.4833716599999,132.39885303,62.608523399999996
2021-05-31,1899.95,3637.0752121,1861.05572935,1585.5965469999999,128.83315592,61.58977983
2021-06-30,1763.15,3632.71136541,1871.00609891,1569.85944356,131.13783159,60.70799135000001
2021-07-30,1825.75,3645.38716621,1863.1780737899999,1589.1533071200001,132.23634330000002,60.819442
2021-08-31,1814.85,3621.33914054,1830.8189501299998,1597.17835873,132.93579642,60.406035259999996
2021-09-30,1742.8,3602.90305462,1825.3688825799998,1581.6469952799998,135.28275693999998,60.604419820000004
2021-10-29,1769.15,3578.01044249,1809.3484408599998,1570.61691282,137.09521232,60.94987649
2021-11-30,1804.4,3586.38672967,1821.13663451,1571.3886500800002,132.01235033999998,61.84909474
2021-12-31,1820.1,3579.3466653,1799.0092094199997,1579.7765365,140.01828051,60.54263887
2022-01-31,1795.25,3625.84047874,1848.1820354200001,1586.49599734,130.02062307,61.141822909999995
2022-02-28,1909.85,3665.701057,1870.93361687,1611.17322652,122.55582867999999,61.03838493
2022-03-31,1942.15,3851.09530399,1971.18573414,1692.3813522699998,125.08440999999999,62.443807580000005
2022-04-29,1911.3,3884.43511564,1987.02980626,1710.6617933799998,124.02356250999999,62.719953489999995
2022-05-31,1838.7,3834.82947171,1953.23443371,1696.4065742799999,122.6871164,62.50134732
2022-06-30,1817.0,3802.78640157,1926.9382930699999,1689.42061392,123.75751898999998,62.66997559
2022-07-29,1753.4,3719.89421717,1877.7072974300002,1648.7956142399998,131.84883875,61.542466749999996
2022-08-31,1715.9,3662.1566231,1836.9643721000002,1638.19774084,124.26604205,62.728468109999994
2022-09-30,1671.75,3559.06568707,1776.60383326,1596.7124766399997,124.30705857,61.4423186
2022-10-31,1639.0,3500.28270126,1736.6160920099999,1582.70200624,119.48661161,61.47799140000001
2022-11-30,1753.5,3474.37411499,1715.6699726000002,1579.79611727,117.92188169999999,60.986143420000005
2022-12-30,1812.35,3469.83541746,1724.39020127,1565.9546550500002,118.71931909999999,60.771242040000004
2023-01-31,1923.9,3443.39671441,1733.1927301399999,1532.9512920299999,114.75419090000003,62.49850134
2023-02-28,1824.6,3409.18232414,1723.21057061,1507.5605274399998,114.64810341,63.76312268
2023-03-31,1979.7,3441.2229479,1734.72659546,1525.9408418000003,117.93762070000001,62.61788994
2023-04-28,1982.55,3456.63718368,1749.8088415799998,1525.3187251199997,118.09973022999999,63.40988675
2023-05-31,1964.4,3475.99700636,1771.1078323299998,1523.23099285,118.20915263999999,63.44902854
2023-06-30,1912.25,3420.12913458,1744.19262899,1497.1464263199998,119.32049884999999,59.46958042
2023-07-31,1970.65,3385.37199136,1727.9029834200003,1478.40413311,121.25888241999999,57.80599241
2023-08-31,1942.3,3339.73126439,1683.6825222799996,1470.206343,127.84722436,57.99517475
2023-09-29,1870.5,3281.02357993,1648.3861420499998,1442.01281255,132.67690174,57.94772359000001
2023-10-31,1996.9,3244.50938647,1620.86997166,1430.68003727,134.04093737,58.91844017
2023-11-30,2035.45,3235.08205819,1631.2390416300002,1410.5169874899998,134.7011307,58.62489837000001
2023-12-29,2062.4,3225.59140461,1642.45363991,1385.5181011299999,137.98343759,59.63622598
2024-01-31,2053.25,3174.71661309,1606.24101266,1367.98833139,141.28567726,59.20159178
2024-02-29,2048.05,3125.9935674,1569.48128713,1353.31680278,144.45549386,58.73998363
2024-03-29,2214.35,3112.62465847,1574.2688872899998,1331.3214571400001,147.83742332,59.19689072
2024-04-30,2307.0,3079.45579341,1575.38863293,1279.17291668,166.74424007,58.15000373
